Date, MSFT Price,APPL Price,MSFT Log Price,AAPL Log Price,MSFT Log Return,AAPL Log Return
31-Aug-11,26.6,54.98,3.280911216,4.006969483,,
1-Sep-11,26.21,54.43,3.266141017,3.996915472,-0.014770198,-0.01005401
2-Sep-11,25.8,53.44,3.250374492,3.978559529,-0.015766525,-0.018355943
6-Sep-11,25.51,54.25,3.239070532,3.993602992,-0.01130396,0.015043463
7-Sep-11,26,54.85,3.258096538,4.004602187,0.019026006,0.010999194
8-Sep-11,26.22,54.88,3.266522478,4.005148983,0.00842594,0.000546797
9-Sep-11,25.74,53.93,3.248046202,3.987686909,-0.018476276,-0.017462074
12-Sep-11,25.89,54.28,3.253856794,3.994155835,0.005810592,0.006468926
13-Sep-11,26.04,54.95,3.259633817,4.006423681,0.005777024,0.012267846
14-Sep-11,26.5,55.61,3.277144733,4.018363041,0.017510916,0.01193936
15-Sep-11,26.99,56.14,3.295466427,4.027848571,0.018321694,0.00948553
16-Sep-11,27.12,57.21,3.300271463,4.046728708,0.004805036,0.018880137
19-Sep-11,27.21,58.8,3.303584553,4.074141855,0.00331309,0.027413147
20-Sep-11,26.98,59.06,3.295095851,4.078553876,-0.008488702,0.004412021
21-Sep-11,25.99,58.88,3.257711849,4.075501474,-0.037384002,-0.003052402
22-Sep-11,25.06,57.4,3.221272949,4.050044303,-0.036438899,-0.025457171
23-Sep-11,25.06,57.76,3.221272949,4.056296495,0,0.006252191
26-Sep-11,25.44,57.6,3.236322738,4.053522568,0.015049789,-0.002773927
27-Sep-11,25.67,57.04,3.245322995,4.043752776,0.009000256,-0.009769792
28-Sep-11,25.58,56.72,3.241810796,4.038126882,-0.003512199,-0.005625894
29-Sep-11,25.45,55.8,3.236715743,4.021773869,-0.005095053,-0.016353013
30-Sep-11,24.89,54.47,3.214466116,3.997650091,-0.022249627,-0.024123778
3-Oct-11,24.53,53.51,3.199896858,3.979868552,-0.014569258,-0.017781539
4-Oct-11,25.34,53.21,3.232384175,3.974246349,0.032487317,-0.005622204
5-Oct-11,25.89,54.04,3.253856794,3.989724513,0.021472619,0.015478164
6-Oct-11,26.34,53.91,3.271088696,3.987315989,0.017231903,-0.002408524
7-Oct-11,26.25,52.83,3.267665989,3.967079211,-0.003422707,-0.020236778
10-Oct-11,26.94,55.54,3.293612171,4.017103482,0.025946182,0.050024271
11-Oct-11,27,57.18,3.295836866,4.046204187,0.002224695,0.029100705
12-Oct-11,26.96,57.46,3.294354286,4.051089054,-0.00148258,0.004884867
13-Oct-11,27.18,58.35,3.302481409,4.066459359,0.008127123,0.015370305
14-Oct-11,27.27,60.29,3.305787197,4.099166253,0.003305788,0.032706894
17-Oct-11,26.98,60,3.295095851,4.094344562,-0.010691346,-0.00482169
18-Oct-11,27.31,60.32,3.307252935,4.099663724,0.012157085,0.005319161
19-Oct-11,27.13,56.95,3.300640127,4.04217369,-0.006612809,-0.057490034
20-Oct-11,27.04,56.47,3.297317251,4.033709524,-0.003322875,-0.008464166
21-Oct-11,27.16,56.12,3.301745303,4.027492255,0.004428052,-0.006217268
24-Oct-11,27.19,57.97,3.302849259,4.059925635,0.001103956,0.03243338
25-Oct-11,26.81,56.82,3.288774952,4.039888376,-0.014074306,-0.020037259
26-Oct-11,26.59,57.23,3.280535205,4.047078236,-0.008239747,0.00718986
27-Oct-11,27.25,57.81,3.305053521,4.057161771,0.024518316,0.010083535
28-Oct-11,26.98,57.85,3.295095851,4.057853454,-0.00995767,0.000691683
31-Oct-11,26.63,57.83,3.2820384,4.057507672,-0.013057451,-0.000345781
1-Nov-11,25.99,56.64,3.257711849,4.036715449,-0.024326551,-0.020792223
2-Nov-11,26.01,56.77,3.258481079,4.039008017,0.000769231,0.002292568
3-Nov-11,26.53,57.58,3.278276168,4.053175285,0.019795089,0.014167268
4-Nov-11,26.25,57.18,3.267665989,4.046204187,-0.010610179,-0.006971098
7-Nov-11,26.8,57.1,3.288401888,4.044804117,0.020735898,-0.00140007
8-Nov-11,27.16,58.03,3.301745303,4.060960118,0.013343415,0.016156002
9-Nov-11,26.2,56.47,3.265759411,4.033709524,-0.035985892,-0.027250595
10-Nov-11,26.28,55.03,3.268808194,4.007878491,0.003048783,-0.025831033
11-Nov-11,26.91,54.95,3.292497965,4.006423681,0.023689771,-0.00145481
14-Nov-11,26.76,54.18,3.286908235,3.992311837,-0.005589729,-0.014111844
15-Nov-11,26.74,55.55,3.286160572,4.017283516,-0.000747664,0.024971679
16-Nov-11,26.07,54.97,3.260785228,4.006787582,-0.025375344,-0.010495934
17-Nov-11,25.54,53.92,3.240245851,3.987501467,-0.020539377,-0.019286115
18-Nov-11,25.3,53.56,3.230804396,3.980802521,-0.009441455,-0.006698946
21-Nov-11,25,52.72,3.218875825,3.96499489,-0.011928571,-0.015807631
22-Nov-11,24.79,53.79,3.210440346,3.985087576,-0.008435479,0.020092686
23-Nov-11,24.47,52.43,3.197447877,3.959478947,-0.012992469,-0.02560863
25-Nov-11,24.3,51.94,3.19047635,3.950089206,-0.006971527,-0.00938974
28-Nov-11,24.87,53.73,3.213662258,3.983971505,0.023185907,0.033882299
29-Nov-11,24.84,53.31,3.212455257,3.976123931,-0.001207001,-0.007847574
30-Nov-11,25.58,54.6,3.241810796,4.000033883,0.029355539,0.023909952
1-Dec-11,25.28,55.42,3.230013569,4.014940539,-0.011797227,0.014906657
2-Dec-11,25.22,55.67,3.227637331,4.019441402,-0.002376239,0.004500863
5-Dec-11,25.7,56.14,3.246490992,4.027848571,0.018853661,0.008407169
6-Dec-11,25.66,55.85,3.244933359,4.022669526,-0.001557633,-0.005179045
7-Dec-11,25.6,55.58,3.242592351,4.017823424,-0.002341008,-0.004846101
8-Dec-11,25.4,55.81,3.234749174,4.021953065,-0.007843177,0.00412964
9-Dec-11,25.7,56.23,3.246490992,4.029450422,0.011741818,0.007497358
12-Dec-11,25.51,55.98,3.239070532,4.024994484,-0.00742046,-0.004455938
13-Dec-11,25.76,55.54,3.248822901,4.017103482,0.009752369,-0.007891002
14-Dec-11,25.59,54.31,3.24220165,3.994708372,-0.006621251,-0.02239511
15-Dec-11,25.56,54.13,3.24102863,3.991388561,-0.001173021,-0.003319811
16-Dec-11,26,54.43,3.258096538,3.996915472,0.017067909,0.005526912
19-Dec-11,25.53,54.6,3.239854231,4.000033883,-0.018242307,0.00311841
20-Dec-11,26.02,56.56,3.258865473,4.035302022,0.019011242,0.035268139
21-Dec-11,25.76,56.64,3.248822901,4.036715449,-0.010042572,0.001413428
22-Dec-11,25.81,56.94,3.250762014,4.041998082,0.001939112,0.005282632
23-Dec-11,26.03,57.62,3.259249719,4.05386973,0.008487705,0.011871648
27-Dec-11,26.04,58.08,3.259633817,4.061821371,0.000384098,0.007951641
28-Dec-11,25.82,57.52,3.251149385,4.052132713,-0.008484432,-0.009688657
29-Dec-11,26.02,57.87,3.258865473,4.058199116,0.007716088,0.006066402
30-Dec-11,25.96,57.86,3.256556892,4.0580263,-0.002308581,-0.000172816
3-Jan-12,26.76,58.75,3.286908235,4.073291153,0.030351343,0.015264853
4-Jan-12,27.4,59.06,3.310543013,4.078553876,0.023634778,0.005262723
5-Jan-12,27.68,59.72,3.320710131,4.089666973,0.010167117,0.011113096
6-Jan-12,28.1,60.34,3.335769576,4.099995234,0.015059446,0.010328261
9-Jan-12,27.74,60.25,3.322875415,4.098502572,-0.012894161,-0.001492661
10-Jan-12,27.84,60.46,3.326473835,4.101981989,0.003598421,0.003479417
11-Jan-12,27.72,60.36,3.322154174,4.100326634,-0.004319661,-0.001655355
12-Jan-12,28,60.2,3.33220451,4.097672352,0.010050336,-0.002654282
13-Jan-12,28.25,59.97,3.341093458,4.093844437,0.008888947,-0.003827915
17-Jan-12,28.26,60.67,3.341447377,4.105449342,0.00035392,0.011604905
18-Jan-12,28.23,61.3,3.340385242,4.115779843,-0.001062135,0.010330501
19-Jan-12,28.12,61.11,3.336481067,4.112675519,-0.003904175,-0.003104324
20-Jan-12,29.71,60.04,3.391483689,4.095011007,0.055002623,-0.017664512
23-Jan-12,29.73,61.06,3.392156637,4.111856987,0.000672948,0.016845981
24-Jan-12,29.34,60.06,3.378951773,4.095344063,-0.013204864,-0.016512925
25-Jan-12,29.56,63.81,3.386422096,4.155909918,0.007470323,0.060565855
26-Jan-12,29.5,63.52,3.384390263,4.151354817,-0.002031833,-0.004555101
27-Jan-12,29.23,63.9,3.375195579,4.157319361,-0.009194684,0.005964544
30-Jan-12,29.61,64.72,3.388112142,4.170070273,0.012916563,0.012750911
31-Jan-12,29.53,65.21,3.385406696,4.177612831,-0.002705446,0.007542559
